측정 시간,진피 수분도,표피 수분도,TEWL,온도,습도,outlier,배열,이전습도절대값
2024-09-05 17:30:28,58.7,41.7,6.0356,30.6578,43.205,0,0,3.4182
2024-09-05 17:31:28,58.2,44.6,6.6966,31.2324,41.1362,0,1,2.0688
2024-09-05 17:32:28,58.3,43.1,6.648,31.5686,40.2034,0,2,0.9328
2024-09-05 17:33:28,57.9,44.3,7.136,31.8238,39.9206,0,3,0.2828
2024-09-05 17:34:28,78.7,63.5,26.0819,32.0923,81.6452,0,4,41.7246
2024-09-05 17:35:28,78.1,63.6,4.7472,31.9988,92.86,0,5,11.2148
2024-09-05 17:36:28,76.4,62.2,3.634,31.9586,93.986,0,6,1.126
2024-09-05 17:37:28,75.3,60.1,4.0168,31.8324,94.0088,0,7,0.0228
2024-09-05 17:38:28,81.4,64.7,9.1196,31.4174,92.1536,0,8,1.8552
2024-09-05 17:39:28,73.6,58.5,20.6828,31.2994,78.2998,0,9,13.8538
2024-09-05 17:40:28,71.7,58.3,18.5647,31.5482,62.606,0,10,15.6938
2024-09-05 17:41:28,72.4,55.6,10.0198,31.737,63.0542,0,11,0.4482
2024-09-05 17:42:28,69.5,53.2,12.2735,31.902,59.0248,0,12,4.0294
2024-09-05 17:43:28,73.6,56.4,9.6252,32.0446,56.393,0,13,2.6318
2024-09-05 17:44:28,69.5,57.6,9.9888,32.173,53.8844,0,14,2.5086
2024-09-05 17:45:28,70.7,54.5,13.0973,32.282,48.418,0,15,5.4664
2024-09-05 17:46:28,70.9,56.9,8.6636,32.391,48.745,0,16,0.327
2024-09-05 17:47:28,78.4,60.5,19.0453,32.525,84.9456,0,17,36.2006
2024-09-05 17:48:28,75.2,58,4.6458,32.3364,93.0684,0,18,8.1228
2024-09-05 17:49:28,73.5,55.6,3.501,32.2432,94.0264,0,19,0.958
2024-09-05 17:50:28,77.6,62.6,3.956,32.083,93.9236,0,20,0.1028
2024-09-05 17:51:28,78.3,61.5,4.1113,31.8678,92.6626,0,21,1.261
2024-09-05 17:58:28,81.8,61.6,3.8054,31.8954,93.8436,0,22,0.8274
2024-09-05 17:59:28,82.5,61,5.0003,31.735,93.597,0,23,0.2466
2024-09-05 18:00:28,81.2,64.8,8.3774,31.5294,91.7222,0,24,1.8748
2024-09-05 18:01:28,77.4,60,24.1117,31.4432,71.454,0,25,20.2682
2024-09-05 18:02:28,76.4,58.9,22.377,31.6176,64.2356,0,26,7.2184
